,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Prediction,Pred. Prob.,CI Low,CI High
993,30,male,3,own,little,little,3959,36,furniture/equipment,good,good,0.4917665247614716,0.4851070233006319,0.4984260262223113
859,26,male,2,rent,moderate,,3577,9,car,good,good,0.7766801218162007,0.7701025020916847,0.7832577415407167
298,43,male,2,own,little,,2515,18,furniture/equipment,good,good,0.8636466230820852,0.8593356898296965,0.8679575563344738
553,27,male,2,own,moderate,moderate,1995,12,car,good,good,0.7003070380311786,0.692952407163585,0.7076616688987721
672,42,male,3,own,little,,10366,60,car,good,good,0.7140943312383683,0.7082029297219072,0.7199857327548294
971,43,male,1,own,little,,7393,24,car,good,good,0.8122591580821115,0.8067410809606668,0.8177772352035562
27,42,female,2,rent,rich,rich,409,12,radio/TV,good,good,0.7655914288911565,0.7614512931735049,0.7697315646088081
231,51,male,1,free,quite rich,,2507,9,car,good,good,0.8537301960278921,0.8503549648915723,0.857105427164212
306,24,female,1,rent,,,4811,30,car,good,good,0.8168591733290799,0.8095773659544189,0.8241409807037409
706,24,male,2,own,moderate,moderate,6560,48,car,bad,good,0.5681421829403961,0.5611931608904407,0.5750912049903515
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,good,0.5011898659657313,0.49042444256785345,0.5119552893636092
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad,good,0.5085607513241017,0.5008628451412797,0.5162586575069238
784,60,male,3,own,,moderate,6468,20,car,good,good,0.7298878991478638,0.7243553866743041,0.7354204116214235
239,39,male,2,own,little,little,2522,30,radio/TV,good,good,0.5044741985315946,0.4979494786478514,0.5109989184153378
578,27,male,2,own,little,moderate,2820,36,car,bad,good,0.6011946749777397,0.5915195069170052,0.6108698430384742
55,26,male,1,own,,,783,6,car,good,good,0.9156657345584222,0.9105873471747586,0.9207441219420857
906,24,male,1,own,,little,3763,21,car,good,good,0.6303742558619363,0.6216243492631266,0.639124162460746
175,53,female,3,own,,,7485,30,car,bad,good,0.8370080399251443,0.8313318857938267,0.8426841940564619
14,28,female,2,rent,little,little,1403,15,car,good,bad,0.5178084872029528,0.5053935470276505,0.5302234273782551
77,51,male,2,own,little,moderate,4771,11,radio/TV,good,good,0.7294331189700303,0.7213905440072947,0.7374756939327658
31,27,male,2,own,little,little,4020,24,furniture/equipment,good,good,0.507750498620766,0.4975074773436377,0.5179935198978943
481,26,male,2,own,little,moderate,1201,24,car,good,good,0.6313484601480708,0.6225309872855385,0.6401659330106031
310,40,male,0,free,,moderate,5381,48,vacation/others,good,good,0.694841281626242,0.6918007819106167,0.6978817813418674
311,25,male,2,own,moderate,,5511,24,furniture/equipment,good,good,0.7821516969025863,0.7744911648918197,0.789812228913353
883,65,female,0,own,little,,1098,18,radio/TV,good,good,0.876439008041986,0.8727282542963559,0.8801497617876162
788,50,male,2,free,little,moderate,6224,48,education,bad,good,0.5450607028010538,0.5373594038225785,0.552762001779529
45,35,female,3,own,little,,1393,11,car,good,good,0.8591487950833128,0.8544274188306642,0.8638701713359613
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,good,0.6403562523165864,0.6328136108992194,0.6478988937339535
760,59,female,2,own,,,5045,15,car,good,good,0.8787820971338856,0.871883660842825,0.8856805334249461
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad,good,0.5352138085456041,0.5256627444299848,0.5447648726612233
823,47,male,1,own,little,little,731,8,car,good,good,0.5799001440406876,0.5664359680801411,0.5933643200012341
710,32,male,3,own,quite rich,,629,18,radio/TV,good,good,0.8680161759761696,0.8632546919203782,0.8727776600319611
614,22,female,2,own,little,,1808,18,furniture/equipment,bad,good,0.7907606360759287,0.7801981366148654,0.8013231355369921
790,39,female,2,own,little,moderate,1188,21,business,bad,good,0.6846880334846119,0.6785486773646573,0.6908273896045666
408,26,male,3,own,quite rich,,3235,24,radio/TV,good,good,0.8239076575432434,0.8160107505163698,0.8318045645701169
736,23,female,3,rent,little,moderate,11560,24,car,bad,bad,0.5727912579123635,0.5617603085689648,0.5838222072557623
957,37,male,1,own,little,moderate,1154,9,radio/TV,good,good,0.7502546955177722,0.7424350082187852,0.7580743828167593
366,27,male,2,own,little,,3850,18,car,good,good,0.8104502000627066,0.8020650329528697,0.8188353671725436
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,bad,good,0.6069372296558817,0.5987288854454111,0.6151455738663523
267,38,female,2,own,little,,1533,24,radio/TV,good,good,0.8781937961436183,0.8752761803294533,0.8811114119577832
230,26,male,2,own,little,rich,4210,36,radio/TV,bad,good,0.7178062256235055,0.7108424973585675,0.7247699538884435
996,40,male,3,own,little,little,3857,30,car,good,good,0.4981554986925826,0.4916250757826067,0.5046859216025584
635,47,male,2,own,little,,1393,12,education,good,good,0.8754572785007325,0.8718957315015089,0.8790188254999561
698,24,male,2,own,little,,1800,18,radio/TV,good,good,0.8205330397589254,0.8090449676009883,0.8320211119168626
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good,good,0.7622264202865204,0.7565026807560195,0.7679501598170214
783,23,female,1,own,moderate,moderate,836,12,car,bad,good,0.6135476655959986,0.6064105228656662,0.620684808326331
819,26,male,2,own,little,little,1345,18,radio/TV,bad,good,0.5347233902287537,0.5252727595076209,0.5441740209498865
141,30,female,3,own,little,moderate,4795,36,radio/TV,good,good,0.6097919825772649,0.6011416841939721,0.6184422809605576
316,38,male,1,own,little,little,708,12,furniture/equipment,good,good,0.5879283970555723,0.5751064320367547,0.6007503620743899
587,21,male,1,own,little,little,1289,12,furniture/equipment,good,good,0.5924014962781148,0.5804726074945181,0.6043303850617114
331,30,female,2,own,moderate,,1864,18,education,bad,good,0.8135799433995057,0.8074765044500216,0.8196833823489897
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad,bad,0.5718669848046917,0.5576528284842522,0.5860811411251311
262,36,male,3,free,little,little,5302,18,car,good,good,0.5332417020217634,0.5238548169936096,0.5426285870499171
432,36,male,3,free,little,little,1872,6,furniture/equipment,good,good,0.6154591697757298,0.6086061763962747,0.6223121631551849
862,35,female,2,own,little,little,2439,24,radio/TV,bad,good,0.5485579474775504,0.5421960142411029,0.5549198807139979
582,26,female,2,rent,little,,1388,9,furniture/equipment,good,good,0.744912463195036,0.733862297051599,0.755962629338473
272,36,male,3,free,,moderate,12169,48,car,good,good,0.5779522058494343,0.5674339746460996,0.588470437052769
270,32,male,2,own,,,2662,18,car,good,good,0.9118554240065465,0.9078579461086738,0.9158529019044193
987,64,female,2,own,moderate,,1409,13,radio/TV,good,good,0.8666555676219916,0.8627228683937006,0.8705882668502826
319,27,female,1,own,little,little,3643,15,furniture/equipment,good,good,0.5708917321975995,0.5605504310880031,0.5812330333071959
569,31,female,2,own,little,little,6758,48,radio/TV,bad,bad,0.586326312627875,0.5795125384960715,0.5931400867596786
643,33,male,2,own,little,,1851,24,radio/TV,good,good,0.8679868702607549,0.8634058511526819,0.872567889368828
142,27,male,3,own,little,little,3416,27,radio/TV,good,good,0.5122558817417208,0.5056570654516158,0.5188546980318257
202,26,male,2,own,little,,5117,27,business,good,good,0.7454623603285433,0.7343930180695765,0.7565317025875101
413,40,male,1,rent,quite rich,,1597,10,car,good,good,0.8589596494192999,0.8559483506300077,0.8619709482085921
196,28,female,2,own,little,,1382,6,radio/TV,good,good,0.8717874257548897,0.8637520113066772,0.8798228402031021
264,32,male,1,own,little,,1231,10,car,good,good,0.8706840640126245,0.8652575639937872,0.8761105640314619
531,28,female,2,rent,moderate,moderate,2631,15,car,bad,good,0.6040687741258212,0.5973457344527608,0.6107918137988815
252,24,female,2,own,little,moderate,2150,30,car,bad,good,0.6105891896470459,0.6030861211782311,0.6180922581158607
576,27,female,2,own,little,moderate,2930,12,radio/TV,good,good,0.717180693254955,0.7090280291550062,0.7253333573549039
738,45,male,3,own,little,,6761,6,car,good,good,0.8079807874524717,0.801020978097457,0.8149405968074864
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good,good,0.7020311567918305,0.6966816632802253,0.7073806503034357
740,32,male,2,own,moderate,little,2325,24,car,good,good,0.5840239228746161,0.5764595711260281,0.5915882746232042
247,35,male,2,rent,moderate,,1204,6,car,good,good,0.8149471141379927,0.8116303904204234,0.818263837855562
926,21,female,2,rent,little,little,1049,18,furniture/equipment,good,bad,0.5343720466342307,0.5238383353587598,0.5449057579097015
412,42,male,3,own,little,,2292,12,business,bad,good,0.8298932747576725,0.8242588804463766,0.8355276690689684
389,27,female,2,own,little,,1449,9,business,good,good,0.8370117070906307,0.8284684930803953,0.845554921100866
796,51,male,2,free,,little,7511,18,car,bad,good,0.5645589476328005,0.5570344903231645,0.5720834049424364
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad,good,0.7055353330959349,0.6968033547863688,0.7142673114055009
654,35,male,2,own,little,,2346,24,car,good,good,0.8573880560949918,0.8542021512345406,0.860573960955443
261,55,female,2,own,little,little,1603,24,radio/TV,good,good,0.5562832053953879,0.5479466094438121,0.5646198013469637
456,36,male,2,rent,little,little,3905,11,car,good,good,0.4917065860790107,0.48130244520064874,0.5021107269573726
386,21,female,2,rent,,,1126,18,radio/TV,good,good,0.8599365114244228,0.8536981778075483,0.8661748450412974
982,28,female,3,own,moderate,rich,2923,21,car,good,good,0.7175748753758299,0.7128717262356364,0.7222780245160233
909,33,female,1,own,,moderate,3195,9,car,good,good,0.7973763594566872,0.7923748233030283,0.802377895610346
693,44,male,1,own,,little,4716,6,car,good,good,0.6466246637545061,0.6374664839414675,0.6557828435675447
236,23,male,0,own,,moderate,14555,6,car,bad,good,0.6471063178529244,0.6446111264585911,0.6496015092472577
501,42,male,2,free,little,little,5493,36,car,good,bad,0.5662138587926566,0.5586533307174074,0.5737743868679058
497,40,male,2,own,little,,1585,24,furniture/equipment,good,good,0.8604215564814993,0.8569085964366747,0.8639345165263239
874,29,male,1,own,little,little,3590,12,furniture/equipment,good,good,0.5791583776340368,0.5684834275502268,0.5898333277178467
452,34,male,2,own,little,,2759,12,furniture/equipment,good,good,0.8644733346711915,0.8591303741028589,0.8698162952395241
494,39,male,1,rent,little,little,2122,12,car,good,bad,0.4985106721560612,0.4867160246235148,0.5103053196886076
923,30,male,2,rent,little,moderate,2002,12,car,good,good,0.6276131975038558,0.6196765021802211,0.6355498928274905
279,29,male,3,rent,moderate,,1901,24,radio/TV,good,good,0.7506443313353637,0.7437692899738495,0.7575193726968779
638,34,female,2,own,little,,1493,12,radio/TV,good,good,0.8930362671437276,0.8885986894007518,0.8974738448867035
485,47,male,3,own,little,moderate,1209,6,car,bad,good,0.7209515681525187,0.7144166332592699,0.7274865030457676
568,41,male,2,own,,moderate,3979,48,radio/TV,good,good,0.7477648383427526,0.7438368416372305,0.7516928350482748
108,30,female,2,own,,little,7721,24,furniture/equipment,good,good,0.5995638290815475,0.5908557194306852,0.6082719387324098
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,bad,0.5453920965116335,0.53569531771759,0.5550888753056769
644,32,male,3,own,little,little,1880,18,radio/TV,good,good,0.55539223817094,0.5454380944136847,0.5653463819281952
785,35,male,1,own,rich,moderate,1941,18,business,good,good,0.706281433853012,0.7003178005654579,0.7122450671405661
873,24,female,2,own,,,874,15,domestic appliances,good,good,0.8679551505993905,0.8605574941882835,0.8753528070104976
65,48,male,2,own,,,5190,27,repairs,good,good,0.8322051399726982,0.8278378633746644,0.836572416570732
902,42,male,2,free,,,10477,36,car,good,good,0.7727544597143466,0.7634768167369176,0.7820321026917757
317,48,female,1,own,,moderate,4351,24,furniture/equipment,good,good,0.7595105814605518,0.7544192606874445,0.7646019022336592
636,28,female,2,own,quite rich,,1376,24,radio/TV,good,good,0.8708544837274985,0.8649503815556138,0.8767585858993833
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good,good,0.6814358832155591,0.6764229038892565,0.6864488625418618
789,27,male,2,own,little,little,5998,40,education,bad,bad,0.6289960369146486,0.6217214766026012,0.6362705972266959
958,45,male,1,own,little,little,4006,28,car,bad,bad,0.5273530958507658,0.5202439207601629,0.5344622709413688
214,51,male,2,own,,,3342,36,radio/TV,good,good,0.9076814896928599,0.9036866754448404,0.9116763039408794
97,34,male,2,own,moderate,moderate,2622,18,business,good,good,0.6931733050418177,0.6872165214227242,0.6991300886609113
583,33,male,1,rent,little,moderate,2384,36,repairs,bad,good,0.5422348328152113,0.535674346412771,0.5487953192176517
466,29,female,1,rent,little,little,1659,24,radio/TV,bad,bad,0.5394957073541153,0.5327589653976775,0.5462324493105531
523,23,female,2,own,moderate,,3488,24,car,good,good,0.7976536611041648,0.7894023584195881,0.8059049637887415
255,27,male,1,own,,moderate,7418,60,radio/TV,good,good,0.698015321232406,0.6929001442694015,0.7031304981954104
385,25,female,2,own,little,,2238,18,radio/TV,good,good,0.831901006026826,0.8224703855011588,0.8413316265524933
545,43,male,2,free,little,little,1333,24,car,bad,bad,0.5167939873073736,0.510338041620259,0.5232499329944882
382,25,female,2,rent,,,1283,22,car,good,good,0.8547755353757093,0.8500996544112329,0.8594514163401856
489,26,male,2,rent,little,,3518,6,car,good,good,0.7543738727072412,0.7440135248591027,0.7647342205553798
513,20,male,2,rent,little,moderate,585,12,radio/TV,good,good,0.5859735663736934,0.5765733295446694,0.5953738032027173
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad,good,0.5709841712794292,0.5601551012456433,0.5818132413132152
904,36,male,3,own,little,,1278,24,radio/TV,good,good,0.8436506192281716,0.8390825146315343,0.848218723824809
122,24,male,1,rent,little,,1768,12,furniture/equipment,good,good,0.7411715084533106,0.7308101646538627,0.7515328522527585
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad,good,0.6443517843643485,0.6371431146835435,0.6515604540451535
60,27,male,2,own,little,moderate,1391,9,business,good,good,0.7143317103740017,0.7046755468284028,0.7239878739196005
844,47,male,2,own,little,,3422,18,furniture/equipment,good,good,0.8518143258426799,0.8462644260748058,0.857364225610554
372,23,female,2,rent,little,,2146,10,furniture/equipment,good,good,0.7330303430614277,0.722222555500005,0.7438381306228503
283,63,male,2,own,,,1520,15,furniture/equipment,good,good,0.9075072480312901,0.9015602842354512,0.913454211827129
939,46,male,3,own,,,6842,24,car,good,good,0.8586937454825919,0.85343093917456,0.8639565517906238
608,33,male,2,own,little,,2051,18,radio/TV,good,good,0.869862110907129,0.8638806302937135,0.8758435915205444
495,20,male,2,own,,little,2996,24,furniture/equipment,bad,good,0.6588362664143991,0.6513772334018475,0.6662952994269506
630,28,female,2,own,little,little,3660,24,radio/TV,good,good,0.5356884623540289,0.5275152519885057,0.5438616727195521
596,23,female,2,rent,little,little,1442,24,car,bad,bad,0.5756200136894795,0.5664637395731027,0.5847762878058562
713,25,male,1,own,little,little,1138,9,radio/TV,good,good,0.6145341027042044,0.6035248082465088,0.6255433971619
753,25,female,2,own,little,,5771,30,radio/TV,good,good,0.8066180207752821,0.7977215476262849,0.8155144939242793
624,65,male,2,free,little,little,2600,18,radio/TV,bad,good,0.5473344657360452,0.538016953737468,0.5566519777346223
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,good,0.7163651718713225,0.7116628105282444,0.7210675332144006
8,61,male,1,own,rich,,3059,12,radio/TV,good,good,0.8776095385017978,0.872691231319986,0.8825278456836095
529,41,male,1,own,little,little,662,6,car,good,good,0.5924538129568431,0.5795382414791679,0.6053693844345183
876,36,male,3,free,little,little,1940,18,radio/TV,good,good,0.5701305686888659,0.5631133539614604,0.5771477834162714
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,good,0.5258306335846717,0.5157880360123164,0.5358732311570271
615,48,male,3,own,,moderate,12204,48,business,good,good,0.5721042564966359,0.5639575468244878,0.5802509661687839
520,44,male,2,free,little,,5507,24,repairs,good,good,0.7302384270927504,0.7254540612604252,0.7350227929250757
249,22,female,2,rent,little,,433,18,radio/TV,bad,good,0.7558200167864686,0.7464267109755567,0.7652133225973805
278,32,female,2,own,little,,4611,6,furniture/equipment,bad,good,0.8482751468256801,0.8411069990609674,0.8554432945903927
424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad,good,0.7881809417164845,0.7821412253165679,0.794220658116401
384,26,male,1,own,moderate,,4272,30,business,good,good,0.7606443818730619,0.7534969732811189,0.767791790465005
395,32,male,2,rent,moderate,moderate,11760,39,education,good,bad,0.5995325602554952,0.5897213801119778,0.6093437403990125
54,57,male,2,free,little,moderate,2225,36,car,bad,good,0.6095371923797115,0.60594277540743,0.613131609351993
