,age,Medu,Fedu,Fjob,reason,studytime,failures,higher,famrel,Walc,health,absences,Grade,Prediction,Pred. Prob.,CI Low,CI High
532,16,2,1,services,other,2,0,yes,4,4,5,2,fail,pass,0.8093617629328197,0.7882983525579378,0.8304251733077016
375,17,0,2,at_home,home,3,0,yes,3,3,2,0,pass,pass,0.8393316298454054,0.8270287160223571,0.8516345436684538
306,18,3,4,other,reputation,2,0,yes,4,4,1,6,pass,pass,0.9119156542531541,0.8964082922492767,0.9274230162570316
625,18,2,3,services,course,1,0,yes,5,2,4,0,pass,pass,0.7951177340421526,0.7769879379421878,0.8132475301421174
480,19,2,3,services,course,1,1,no,4,1,2,0,fail,fail,0.7027395124716554,0.6844272765232978,0.7210517484200131
470,15,3,3,other,reputation,2,0,yes,4,1,1,4,pass,pass,0.9477459416245131,0.9332312868972008,0.9622605963518254
303,17,3,3,other,home,3,0,yes,3,1,4,2,pass,pass,0.9597444437542082,0.9498202372156365,0.9696686502927799
240,17,3,2,other,course,2,0,yes,5,3,3,2,pass,pass,0.9151376514082536,0.8944096588813667,0.9358656439351406
534,16,4,4,health,other,1,0,yes,4,5,5,0,pass,pass,0.8412968906093906,0.8304992580105679,0.8520945232082133
85,15,4,4,services,reputation,2,0,yes,4,3,5,4,pass,pass,0.8871862554383787,0.867482435018175,0.9068900758585824
477,15,3,3,services,course,1,0,yes,4,4,3,11,pass,pass,0.8847325541584694,0.859132204179379,0.9103329041375599
384,19,3,2,services,home,1,0,yes,5,2,5,0,pass,pass,0.6801842392889199,0.657406445538715,0.7029620330391249
165,15,3,3,services,reputation,3,0,yes,4,3,3,2,pass,pass,0.9088761814302864,0.8849930881151146,0.9327592747454582
239,18,3,1,other,reputation,2,0,yes,5,1,4,4,fail,pass,0.8374557534277015,0.8202386727953316,0.8546728340600714
337,17,4,3,services,reputation,3,0,yes,4,2,3,0,pass,pass,0.9222737324782417,0.9125688420469416,0.9319786229095419
249,16,3,2,other,reputation,3,0,yes,5,3,2,0,pass,pass,0.9599124958231967,0.9479098341492839,0.9719151574971095
122,16,2,4,health,course,2,0,yes,4,2,5,2,pass,pass,0.882097562287523,0.8668490976516069,0.8973460269234391
395,18,4,4,services,home,2,0,yes,4,2,2,0,pass,pass,0.9003549795905426,0.8869255702942767,0.9137843888868085
157,15,2,1,other,home,1,0,no,4,1,5,0,pass,pass,0.6256607142857142,0.6070236159954547,0.6442978125759737
531,17,1,1,services,other,2,0,yes,5,3,1,0,pass,pass,0.8022356751903823,0.7834837516651637,0.8209875987156009
64,15,4,3,services,reputation,2,0,yes,4,4,2,0,pass,pass,0.9123182312033713,0.8911232703957954,0.9335131920109472
251,16,2,1,other,home,1,0,yes,4,1,5,4,fail,pass,0.7506203559257172,0.727690863681044,0.7735498481703904
343,18,4,3,other,reputation,4,0,yes,4,1,3,0,pass,pass,0.9772588857571001,0.9682848099167134,0.9862329615974867
392,17,3,2,other,home,2,0,yes,4,3,2,0,pass,pass,0.9312296660473501,0.9187057088576686,0.9437536232370317
355,17,2,3,other,course,2,0,yes,4,1,3,2,pass,pass,0.9082223457707507,0.8932627615075928,0.9231819300339086
603,18,4,2,other,reputation,2,0,yes,5,1,5,0,fail,pass,0.8735447310186839,0.853263033100208,0.8938264289371598
268,17,4,4,other,course,2,0,yes,3,3,4,0,pass,pass,0.9416699322861366,0.9321996307315197,0.9511402338407535
593,18,1,2,other,reputation,2,0,yes,4,2,4,0,pass,pass,0.7932021893045368,0.7790530436153531,0.8073513349937205
271,17,4,4,services,course,2,0,yes,5,4,5,2,pass,pass,0.8922362726052246,0.8773084760787121,0.9071640691317372
646,18,1,1,other,course,2,0,yes,1,1,5,6,pass,pass,0.559051921349641,0.5398602269058586,0.5782436157934234
50,16,2,2,services,course,2,0,yes,4,3,4,0,pass,pass,0.8873286312646073,0.8693475258882388,0.9053097366409757
499,16,2,2,other,course,1,0,yes,4,2,5,0,pass,pass,0.7827741137759832,0.7601709667468071,0.8053772608051593
449,15,1,2,services,course,1,0,yes,5,1,1,3,pass,pass,0.682962200505695,0.6624383541638627,0.7034860468475274
439,15,3,3,services,course,1,0,yes,4,1,4,0,pass,pass,0.8397495574257634,0.8226653453877161,0.8568337694638107
235,17,1,1,other,reputation,3,0,yes,4,1,5,12,pass,pass,0.7680499054906045,0.7441117980442563,0.7919880129369526
578,17,3,3,other,course,2,1,yes,4,3,3,4,fail,pass,0.6753113970685398,0.6538200518315207,0.6968027423055589
506,20,3,3,services,other,2,1,yes,3,4,3,8,pass,fail,0.4238004776021081,0.4040996649967189,0.4435012902074973
75,15,4,3,other,home,2,0,yes,4,3,5,0,pass,pass,0.9457571865254805,0.9258491901994576,0.9656651828515034
159,15,1,2,other,course,2,0,yes,4,1,5,6,pass,pass,0.7808330811721009,0.7642090774581304,0.7974570848860715
644,19,2,3,other,course,3,1,yes,5,2,5,4,pass,pass,0.6380567650385469,0.6155675914193427,0.6605459386577511
386,17,2,4,other,course,3,0,yes,4,1,5,0,pass,pass,0.8932255181718493,0.8817085551978247,0.9047424811458739
509,16,1,1,other,course,2,0,yes,5,1,1,0,pass,pass,0.847428314860636,0.8269165873467947,0.8679400423744772
505,17,1,1,other,reputation,1,0,yes,4,2,5,0,pass,pass,0.7133163246290737,0.6953044247555668,0.7313282245025806
245,17,2,2,other,course,2,0,yes,4,1,1,0,pass,pass,0.8975254111636539,0.8825902573189202,0.9124605650083877
592,17,3,3,services,course,1,0,yes,4,1,4,0,pass,pass,0.8193651268183667,0.8017470313925951,0.8369832222441383
564,16,3,2,other,course,1,0,yes,4,3,5,2,pass,pass,0.8495849004953996,0.82071519804906,0.8784546029417392
190,16,2,2,other,reputation,2,0,yes,3,4,5,0,pass,pass,0.8984680829772561,0.8731979370358869,0.9237382289186253
528,17,2,2,other,other,1,0,yes,5,2,5,5,fail,pass,0.7374479759898235,0.7073446125571288,0.7675513394225182
538,16,2,2,other,course,3,0,yes,4,2,5,2,pass,pass,0.8839547663775393,0.8702478699621556,0.897661662792923
643,18,4,4,at_home,reputation,1,0,yes,4,2,5,4,fail,pass,0.8100993694227925,0.7981164629141576,0.8220822759314274
175,17,3,2,other,course,2,2,yes,4,4,3,4,fail,pass,0.6018055555555556,0.574052779665374,0.6295583314457371
400,18,4,3,services,course,3,0,yes,5,2,4,4,pass,pass,0.9069397365371578,0.8911537625850622,0.9227257104892533
52,15,4,2,health,other,1,0,yes,5,4,5,4,fail,pass,0.859537970540476,0.8447711316797817,0.8743048094011703
48,15,4,2,other,home,2,0,yes,4,2,5,4,pass,pass,0.9160077006050048,0.899093918557534,0.9329214826524757
436,15,1,1,services,course,1,1,yes,4,2,2,4,fail,pass,0.5324496676447016,0.5191396268106833,0.5457597084787199
405,19,2,3,other,home,1,1,no,2,4,5,16,pass,fail,0.5351861111111111,0.5097551422380687,0.5606170799841536
205,17,1,1,services,course,2,0,yes,5,1,3,0,pass,pass,0.8274880076940615,0.8074170470989044,0.8475589682892186
206,17,1,2,services,other,2,0,yes,4,5,5,16,pass,pass,0.7866903314692317,0.7770306624549859,0.7963500004834776
272,17,1,1,other,home,3,0,yes,4,1,1,2,pass,pass,0.8758781600647988,0.8635982543669497,0.8881580657626479
14,15,2,2,other,home,3,0,yes,4,1,3,0,pass,pass,0.9178795517694123,0.9016297441451562,0.9341293593936684
422,18,3,2,other,home,2,0,yes,3,2,1,4,pass,pass,0.8878712847327983,0.8652149230365401,0.9105276464290565
18,17,3,2,services,course,1,3,yes,5,4,5,2,fail,fail,0.6968873610307821,0.6810470668972388,0.7127276551643253
628,17,2,2,at_home,home,3,0,yes,3,1,3,8,pass,pass,0.9252607620468827,0.9147267012702716,0.9357948228234938
580,19,1,1,other,home,1,1,yes,4,3,5,4,fail,fail,0.715265304536733,0.6920046947743176,0.7385259142991484
55,16,2,1,other,other,2,0,yes,5,1,2,2,pass,pass,0.8786972517244012,0.8618446082453991,0.8955498952034032
49,15,4,4,teacher,other,2,0,yes,4,1,3,2,pass,pass,0.9374572825983541,0.9202644667877635,0.9546500984089448
76,15,4,0,other,course,4,0,yes,3,1,1,0,pass,pass,0.948888502506733,0.9324826718789211,0.9652943331345448
246,17,4,4,teacher,reputation,2,0,yes,4,3,2,0,pass,pass,0.9509487669076954,0.9320866061942564,0.9698109276211343
503,16,1,1,other,course,4,0,yes,2,1,5,0,pass,pass,0.6690573089177576,0.6544311566102756,0.6836834612252396
513,16,3,1,other,course,1,0,yes,3,3,1,0,fail,pass,0.8791950950948287,0.856050363601043,0.9023398265886144
428,15,2,1,other,home,1,0,no,1,1,1,0,fail,fail,0.5628273809523808,0.5478585560830695,0.5777962058216921
529,16,4,4,services,other,1,0,yes,5,2,5,1,pass,pass,0.7386314659935532,0.7150702777244049,0.7621926542627016
261,17,2,1,services,course,2,0,yes,2,1,3,2,pass,pass,0.8178490184037305,0.7986834918663789,0.8370145449410821
301,18,4,3,other,course,2,0,yes,4,1,3,2,pass,pass,0.9272696307660594,0.9161332848981499,0.9384059766339689
17,16,3,3,other,reputation,2,0,yes,5,1,4,2,pass,pass,0.9398583917827078,0.924577128943876,0.9551396546215396
187,16,1,3,services,home,2,0,yes,4,1,3,0,pass,pass,0.8579973597496532,0.8432299178067367,0.8727648016925696
390,18,2,2,other,course,4,0,yes,4,1,4,6,pass,pass,0.940461956088357,0.9263637774409416,0.9545601347357725
362,18,4,4,other,course,2,0,yes,4,3,5,0,pass,pass,0.912288891226695,0.8977713377810513,0.9268064446723386
252,16,4,1,other,home,2,0,yes,5,2,5,0,pass,pass,0.8486051832793278,0.8363261169183062,0.8608842496403494
278,17,2,3,other,course,1,0,yes,5,1,2,2,pass,pass,0.8487164141234033,0.8327790916723845,0.864653736574422
10,15,4,4,health,reputation,2,0,yes,3,2,2,2,pass,pass,0.9565328526632095,0.937399123436254,0.9756665818901651
541,17,2,2,other,other,2,0,yes,5,1,5,0,pass,pass,0.8157780331364515,0.7912531350383352,0.8403029312345678
604,18,1,1,services,course,2,1,no,4,2,2,2,fail,fail,0.6939422902494333,0.6722550822606634,0.7156294982382032
247,16,4,4,other,reputation,2,0,yes,4,4,1,0,pass,pass,0.9344377551020411,0.9198633285797808,0.9490121816243013
344,18,4,4,teacher,home,1,0,yes,1,2,1,0,pass,pass,0.9200092207395778,0.9037305582088948,0.9362878832702608
193,17,4,3,other,course,2,0,yes,5,1,2,4,pass,pass,0.95254371729461,0.9404590204834772,0.9646284141057427
103,15,3,2,other,home,2,0,yes,4,1,2,16,pass,pass,0.8189493994692824,0.7960517592716244,0.8418470396669403
285,16,2,1,other,course,1,0,yes,3,3,3,2,pass,pass,0.7885428699698344,0.7665753148229536,0.8105104251167151
495,16,3,3,other,reputation,1,0,no,4,1,4,0,pass,pass,0.5700818027210883,0.5524121717908317,0.587751433651345
62,16,1,2,services,reputation,2,0,yes,4,1,1,0,pass,pass,0.8537673741618399,0.840239518988543,0.8672952293351368
142,18,3,1,services,course,1,0,yes,3,5,4,2,pass,pass,0.7155626954071512,0.6937971626028017,0.7373282282115008
243,17,2,1,other,course,3,0,yes,3,2,3,0,pass,pass,0.9084543178900943,0.8964562564031321,0.9204523793770566
196,17,2,4,services,reputation,2,0,yes,5,3,5,0,pass,pass,0.827927554396987,0.8130337031826642,0.8428214056113097
162,15,2,1,other,course,1,0,yes,4,5,5,0,pass,pass,0.6917894385227734,0.6625198352055163,0.7210590418400306
155,17,2,1,other,home,1,0,yes,5,2,5,22,fail,pass,0.7678639186283133,0.743624316239115,0.7921035210175116
127,19,0,1,other,course,2,2,no,3,1,5,0,pass,fail,0.8071111111111111,0.7925133821417494,0.8217088400804728
330,18,2,1,other,reputation,2,0,yes,4,1,5,10,pass,pass,0.7354857358013155,0.7091656096115051,0.7618058619911259
1,17,1,1,other,course,2,0,yes,5,1,3,2,pass,pass,0.8097997222251281,0.7930626461129191,0.8265367983373371
37,16,4,4,teacher,reputation,3,0,yes,2,1,5,4,pass,pass,0.9454991036888646,0.933400394031782,0.9575978133459472
409,18,3,4,other,reputation,2,0,yes,4,4,2,9,pass,pass,0.9127878294655081,0.8955042227602985,0.9300714361707176
367,17,2,1,other,home,2,0,yes,4,2,2,2,pass,pass,0.8751982950207801,0.8610196301994888,0.8893769598420713
573,17,1,1,at_home,course,1,0,yes,4,2,5,9,fail,pass,0.7215864791117782,0.6933618231819646,0.7498111350415918
518,18,2,4,services,reputation,2,1,yes,2,3,1,8,fail,fail,0.3956645772370837,0.37033218216952146,0.42099697230464594
45,15,4,3,other,course,2,0,yes,5,1,5,4,pass,pass,0.9285713377217174,0.9104566783704886,0.9466859970729462
521,16,2,3,services,other,2,0,yes,3,1,2,0,fail,pass,0.8822641074248848,0.8627721484037565,0.9017560664460131
408,18,2,2,services,reputation,2,0,no,4,3,3,11,pass,fail,0.5965957662012172,0.5743950149946939,0.6187965174077406
8,15,3,2,other,home,2,0,yes,4,1,1,0,pass,pass,0.9445149544623423,0.9255707728537075,0.9634591360709772
457,17,1,2,services,reputation,1,0,yes,5,5,3,4,pass,pass,0.6693432162644758,0.6442544211932925,0.6944320113356591
455,15,2,1,other,home,2,0,yes,4,3,2,0,fail,pass,0.8862155793787955,0.870556866445187,0.9018742923124039
31,15,4,4,services,reputation,2,0,yes,4,1,5,2,pass,pass,0.8797545253614223,0.8611193050510408,0.8983897456718037
21,15,4,4,health,other,1,0,yes,5,1,5,0,pass,pass,0.7137859713445961,0.6922485090254136,0.7353234336637786
77,16,2,2,other,reputation,4,0,yes,5,3,3,1,pass,pass,0.931009378340748,0.9141709182439087,0.9478478384375874
342,18,4,3,other,home,2,0,yes,4,2,2,0,pass,pass,0.9510441710075639,0.9408047208207831,0.9612836211943446
391,17,3,4,other,course,3,0,yes,4,3,5,8,pass,pass,0.9531198180569571,0.9393481245053762,0.966891511608538
298,17,2,2,services,course,4,0,yes,3,1,2,2,pass,pass,0.9203631287198895,0.9088423250138208,0.9318839324259581
170,18,1,1,other,course,1,3,yes,5,5,4,6,pass,fail,0.7122222222222223,0.699499203421176,0.7249452410232686
618,18,1,2,other,course,2,0,yes,4,4,5,0,pass,pass,0.7339947691470621,0.7177229584610518,0.7502665798330723
101,16,4,4,teacher,other,3,0,yes,4,1,4,0,pass,pass,0.8448703667533077,0.8249285539290602,0.8648121795775553
492,16,2,2,other,course,2,0,yes,3,1,3,2,fail,pass,0.9048607779651779,0.8869576745910743,0.9227638813392816
211,16,3,3,other,home,1,0,yes,3,5,3,16,pass,pass,0.8550445970695969,0.83747641751687,0.8726127766223238
585,17,3,1,at_home,course,3,0,no,4,2,3,5,fail,fail,0.5992929138321994,0.5847070729500106,0.6138787547143882
485,17,2,2,other,course,2,0,yes,4,2,4,0,pass,pass,0.8891660574361883,0.8725816688819904,0.9057504459903861
352,19,3,3,services,reputation,2,0,yes,4,2,5,0,pass,pass,0.8061664376355473,0.787401610827414,0.8249312644436806
419,19,2,1,other,reputation,1,0,yes,5,4,4,10,fail,pass,0.7610192613196689,0.740680959003095,0.7813575636362428
236,16,2,3,teacher,other,2,0,yes,2,1,3,0,pass,pass,0.8687534077606633,0.8441592467490759,0.8933475687722507
403,17,2,1,other,course,2,0,yes,4,2,1,10,pass,pass,0.721912076383496,0.6975803570664322,0.7462437957005598
266,17,4,2,other,course,2,0,yes,4,1,4,4,pass,pass,0.9047281931758843,0.8852026879904066,0.924253698361362
641,18,2,2,other,other,3,0,yes,5,3,4,0,pass,pass,0.8446417097331285,0.8280554982033229,0.861227921262934
558,17,2,2,other,course,1,0,no,5,5,5,0,pass,pass,0.6083487179487179,0.5865465118667526,0.6301509240306833
242,18,2,1,other,course,2,0,yes,4,5,3,2,pass,pass,0.7852537008422105,0.7629796910670045,0.8075277106174165
34,16,3,2,other,home,1,0,yes,5,1,5,4,pass,pass,0.7913593590430572,0.7682084135723736,0.8145103045137408
432,17,1,1,other,other,1,1,no,5,2,5,0,fail,fail,0.7709780045351475,0.7393995150078426,0.8025564940624524
399,18,3,2,services,other,3,0,yes,5,3,1,4,pass,pass,0.8286771471747544,0.806973214961842,0.8503810793876667
346,17,4,4,teacher,home,1,0,yes,4,2,5,0,pass,pass,0.8094345008735776,0.7955402167922111,0.8233287849549441
542,16,4,4,services,course,3,0,yes,5,4,5,1,pass,pass,0.9109586467945593,0.8971161449705556,0.924801148618563
601,18,2,2,other,course,2,0,yes,1,1,2,4,fail,pass,0.8115695855384601,0.7925013696283114,0.8306378014486089
440,16,1,1,services,home,2,0,yes,5,5,3,0,fail,pass,0.6758521438905299,0.6571441148792294,0.6945601729018305
640,18,4,2,other,home,1,1,yes,5,3,3,0,fail,pass,0.5682758154543869,0.5460292839867893,0.5905223469219845
12,15,4,4,services,course,1,0,yes,4,3,5,0,pass,pass,0.8311552380917892,0.8159029564002818,0.8464075197832965
144,16,1,1,services,reputation,1,0,yes,3,2,1,8,pass,pass,0.697196233375387,0.6810324007412397,0.7133600660095344
229,17,3,2,other,reputation,2,0,yes,4,3,1,2,pass,pass,0.9353296030679026,0.9214342614751893,0.9492249446606159
283,16,3,3,other,reputation,2,1,yes,5,3,2,4,pass,pass,0.6192477410486339,0.5934166805987672,0.6450788014985006
78,17,2,1,other,home,1,3,no,4,1,3,0,fail,fail,0.7621666666666665,0.7416324040373204,0.7827009292960126
92,16,3,1,other,home,2,0,yes,3,3,2,0,pass,pass,0.9198341771900808,0.9084401426785534,0.9312282117016081
404,17,2,1,other,reputation,2,0,yes,4,4,4,4,pass,pass,0.8294703414814651,0.8109192325768567,0.8480214503860736
66,15,4,4,services,reputation,4,0,yes,1,5,3,0,pass,pass,0.8795961810834093,0.8659915284303866,0.893200833736432
500,17,1,2,other,course,1,1,no,5,5,1,12,fail,fail,0.7170555555555557,0.696433054486357,0.7376780566247544
397,17,2,2,at_home,home,2,0,yes,3,2,4,18,pass,pass,0.8093106686634478,0.7903392735957776,0.828282063731118
595,18,4,4,other,reputation,1,0,yes,5,1,5,3,pass,pass,0.8168109848442677,0.8018782646541153,0.8317437050344202
313,18,1,1,other,home,2,0,yes,4,1,3,2,pass,pass,0.7842505602741083,0.7655840649361437,0.8029170556120729
15,16,4,4,other,home,1,0,yes,4,2,2,6,pass,pass,0.9230793344552274,0.9099840115320359,0.9361746573784189
6,16,2,2,other,home,2,0,yes,4,1,3,0,pass,pass,0.9168379569845085,0.9026650088286252,0.9310109051403919
233,17,2,2,at_home,course,3,0,yes,4,1,4,0,pass,pass,0.9322640352260404,0.919158450000233,0.9453696204518478
483,16,2,2,other,course,2,0,no,3,2,1,1,pass,pass,0.5185967643467643,0.5019508106176024,0.5352427180759262
331,17,1,1,other,reputation,2,0,yes,4,2,4,0,pass,pass,0.8193534570905774,0.8041496015886935,0.8345573125924612
293,18,1,1,at_home,home,3,0,yes,4,3,3,4,pass,pass,0.8059376904294967,0.7847578313663152,0.8271175494926782
250,17,2,2,other,home,2,0,yes,4,5,4,0,pass,pass,0.8803548273485773,0.8592561193857332,0.9014535353114214
200,16,1,2,services,other,1,0,yes,3,2,3,0,pass,pass,0.7222440673734528,0.7020173804357512,0.7424707543111544
588,17,4,1,at_home,course,1,0,yes,3,1,5,0,fail,pass,0.7492191413709106,0.732385892158574,0.7660523905832473
332,18,2,2,at_home,other,3,0,yes,4,2,2,0,pass,pass,0.8471274008648163,0.8344515899437863,0.8598032117858463
202,17,3,3,other,reputation,2,0,yes,3,3,3,10,pass,pass,0.9050081669983457,0.8932574048155856,0.9167589291811059
316,17,2,4,health,reputation,2,0,yes,4,1,1,6,pass,pass,0.903342365626676,0.8864163415618931,0.920268389691459
90,16,3,3,other,home,3,0,yes,4,3,4,2,pass,pass,0.9437818983926125,0.9261553167772698,0.9614084800079552
562,16,2,2,services,course,2,0,yes,5,1,1,0,pass,pass,0.8647337422731117,0.8439905726751226,0.8854769118711009
294,18,2,2,other,home,2,0,yes,3,1,5,4,pass,pass,0.7870761134296412,0.767147870330149,0.8070043565291335
118,17,1,3,other,course,2,1,yes,5,4,5,14,pass,pass,0.5101116324307501,0.48748719349968866,0.5327360713618114
361,19,4,2,other,course,2,0,yes,5,1,1,9,pass,pass,0.8110454855260827,0.7866381393439508,0.8354528317082146
454,16,1,2,services,course,3,1,yes,1,2,4,3,fail,fail,0.6557611830924174,0.6307110259787584,0.6808113402060764
508,17,2,2,other,course,1,1,yes,4,2,5,0,fail,fail,0.6182275191007214,0.5909109285331875,0.6455441096682553
194,16,4,3,other,home,2,0,yes,3,3,3,4,pass,pass,0.9313531455647527,0.9144280100657416,0.9482782810637638
441,17,1,1,other,home,2,0,yes,4,4,5,4,fail,pass,0.723108306067066,0.7063140820379828,0.7399025300961491
456,16,1,1,other,course,2,0,yes,5,1,2,0,pass,pass,0.8418265401904574,0.8220717699968793,0.8615813103840356
339,18,3,2,other,reputation,3,0,yes,5,1,4,0,pass,pass,0.9534885042582778,0.9431582844356134,0.9638187240809422
312,18,2,3,services,reputation,4,0,yes,4,3,2,10,pass,pass,0.8591454385250646,0.8452829855841731,0.8730078914659561
365,17,4,3,services,course,2,0,yes,5,2,5,14,pass,pass,0.7837741879833109,0.7706254411091843,0.7969229348574375
279,22,3,1,services,other,1,3,no,5,5,1,12,fail,fail,0.8970000000000001,0.8884434547278065,0.9055565452721938
614,17,4,4,services,other,2,0,yes,4,2,5,2,pass,pass,0.8355987735691507,0.8085775655623413,0.8626199815759601
638,17,2,3,services,home,2,0,yes,4,1,3,4,pass,pass,0.861944514012024,0.8440389855319357,0.8798500424921123
581,18,1,2,other,course,2,2,yes,4,1,5,2,fail,fail,0.5249260683760685,0.5019619327278817,0.5478902040242553
566,18,1,1,other,course,1,1,no,5,3,5,2,fail,fail,0.7887830629687772,0.7621720798908391,0.8153940460467153
210,17,4,4,teacher,home,1,0,yes,5,2,5,4,pass,pass,0.8133238597859418,0.7944802845668517,0.8321674350050319
356,17,4,4,teacher,course,1,0,yes,4,1,5,2,pass,pass,0.8096834634990979,0.7970981603933279,0.8222687666048679
132,17,2,1,other,course,1,0,yes,3,2,5,8,pass,pass,0.6459695112614905,0.6124090404253685,0.6795299820976125
173,16,1,2,services,course,1,2,yes,4,5,5,0,fail,fail,0.7004023504273503,0.6822954899295505,0.7185092109251502
178,17,1,1,services,course,2,0,no,5,5,5,0,fail,pass,0.6023365384615385,0.587600468659922,0.6170726082631549
642,17,4,3,other,other,2,0,yes,5,1,1,0,fail,pass,0.9438777603349034,0.9303152925854636,0.9574402280843433
389,18,2,2,other,home,2,0,yes,4,1,2,0,pass,pass,0.883328267172186,0.868885212274027,0.897771322070345
172,16,3,3,services,course,2,1,yes,4,4,5,0,fail,fail,0.4996131962205904,0.480115374706761,0.5191110177344198
97,16,2,1,other,course,2,0,yes,4,1,5,0,pass,pass,0.8048343357962104,0.7878323139370688,0.8218363576553521
647,17,3,1,services,course,1,0,yes,2,4,2,6,pass,pass,0.7101948154626936,0.6877944552309827,0.7325951756944045
478,16,1,1,other,course,2,3,yes,3,1,1,0,fail,fail,0.6021583333333332,0.5857157680602837,0.6186008986063828
636,18,4,4,teacher,home,2,0,yes,3,4,2,4,pass,pass,0.9601364157667729,0.9483809896410912,0.9718918418924546
632,19,1,1,other,course,2,1,yes,4,1,3,4,fail,fail,0.5143646710798747,0.4929166095664714,0.5358127325932781
96,16,4,3,other,reputation,1,0,yes,3,1,4,6,pass,pass,0.8968762962046397,0.8809669802082755,0.912785612201004
350,19,2,1,services,course,3,1,yes,4,1,5,0,pass,pass,0.6098884332423156,0.5925344277221924,0.6272424387624387
